tax_year,donor_ein,donor_name,amount,purpose,grant_type
2016,362167761,HILLELS OF ILLINOIS,94430,Grants from Donor Advised Funds - Operating Support,schedule_i
2016,510064315,JEWISH FEDERATION OF DELAWARE,40000,ENDOWMENT FUND ALLOCATIONS,schedule_i
2016,201123519,JEWISH FEDERATION OF OMAHA FOUNDATION,11000,General Support,schedule_i
2016,541653165,TIDEWATER JEWISH FOUNDATION INC,7500,SHURAT HADIN,schedule_i
2016,201195592,JEWISH FEDERATION OF NORTHERN NEW JERSEY,6800,General Support,schedule_i
2016,952504044,JEWISH COMMUNITY FOUNDATION OF SAN DIEGO,6600,GENERAL,schedule_i
2015,941156533,JEWISH COMMUNITY FEDERATION OF SAN FRANCISCO,275300,PUBLIC/SOCIETY BENEFIT,schedule_i
2015,741109654,JEWISH FEDERATION OF GREATER HOUSTON,200000,Shurat Hadin-Supp Victims Terror,schedule_i
2015,741109654,JEWISH FEDERATION OF GREATER HOUSTON,100000,Ist Christns Rec For/Gen Supp,schedule_i
2015,362167761,HILLELS OF ILLINOIS,91300,Grants from Donor Advised Funds - Operating Support,schedule_i
2015,201195592,JEWISH FEDERATION OF NORTHERN NEW JERSEY,20000,GENERAL SUPPORT,schedule_i
2015,910575950,"UNKNOWN (SEATTLE, WA)",14000,OPERATIONS SUPPORT,schedule_i
2015,201123519,JEWISH FEDERATION OF OMAHA FOUNDATION,6000,General Support,schedule_i
2015,231500085,JEWISH FEDERATION GREATER PHILADELPHIA,5400,GENERAL AND/OR PROGRAM SUPPORT - DONOR ADVISED FUNDS,schedule_i
2014,941156533,JEWISH COMMUNITY FEDERATION OF SAN FRANCISCO,252350,CIVIL RIGHTS/SOCIAL ACTION/ADVOCACY,schedule_i
2014,741109654,JEWISH FEDERATION OF GREATER HOUSTON,150000,Shurat Hadin-Israel Law Ctr,schedule_i
2014,741109654,JEWISH FEDERATION OF GREATER HOUSTON,75000,Matnat Shichrur,schedule_i
2014,362167761,HILLELS OF ILLINOIS,35950,Grants from Donor Advised Funds - Operating Support,schedule_i
2014,541653165,TIDEWATER JEWISH FOUNDATION INC,11000,GENERAL SUPPORT,schedule_i
2014,201123519,JEWISH FEDERATION OF OMAHA FOUNDATION,10000,General Support,schedule_i
2013,941156533,JEWISH COMMUNITY FEDERATION OF SAN FRANCISCO,150100,GEN/PROGRAM,schedule_i
2013,741109654,JEWISH FEDERATION OF GREATER HOUSTON,125000,Shurat Hadin-Israel Law Ctr,schedule_i
2013,741109654,JEWISH FEDERATION OF GREATER HOUSTON,75000,Matnat Shichrur,schedule_i
2013,362167761,HILLELS OF ILLINOIS,45500,Grants from Donor Advised Funds - Operating Support,schedule_i
2013,952504044,JEWISH COMMUNITY FOUNDATION OF SAN DIEGO,20350,GENERAL,schedule_i
2013,741109654,JEWISH FEDERATION OF GREATER HOUSTON,20000,Shutaf Leadership Devlpmnt,schedule_i
2013,510064315,JEWISH FEDERATION OF DELAWARE,9000,ENDOWMENT FUND ALLOCATIONS,schedule_i
2013,390806312,JEWISH COMMUNITY FOUNDATION (MILWAUKEE),5180,"$5,000 GUSH ETZION VISITOR'S CTR ENTRANCE HALL DEDICATION; $180 GENERAL SUPPORT",schedule_i
2012,741109654,JEWISH FEDERATION OF GREATER HOUSTON,100000,Israel Law Center,schedule_i
2012,952504044,JEWISH COMMUNITY FOUNDATION OF SAN DIEGO,31600,GENERAL,schedule_i
2012,362167761,HILLELS OF ILLINOIS,25293,Operating Support,schedule_i
2012,510064315,JEWISH FEDERATION OF DELAWARE,11000,"TO SUPPORT THE ORGANIZATIONS EFFORTS TO MOBILIZE THE JEWISH COMMUNITY TO ADDRESS ISSUES, MEET NEEDS, AND BUILD AN AGENDA FOR THE FUTURE.",schedule_i
2011,741109654,JEWISH FEDERATION OF GREATER HOUSTON,100000,Annual Support,schedule_i
